host_t,n,gx,gy,gz,ax,ay,az,temp
451773.589338,74938,34,-20,-6,-384,-280,8246,-1792
451773.600174,74939,21,-24,-5,-394,-288,8249,-1792
451773.609289,74940,23,-25,-7,-385,-289,8250,-1790
451773.619212,74941,25,-25,-8,-388,-284,8242,-1790
451773.628397,74942,25,-22,-10,-383,-293,8252,-1784
451773.638386,74943,22,-24,-7,-390,-289,8263,-1784
451773.648344,74944,26,-23,-9,-389,-290,8244,-1784
451773.658344,74945,23,-20,-7,-384,-290,8245,-1784
451773.669033,74946,26,-23,-7,-397,-296,8237,-1784
451773.678316,74947,24,-26,-4,-393,-290,8248,-1788
451773.688375,74948,24,-23,-8,-390,-283,8254,-1788
451773.698481,74949,33,-22,-9,-393,-290,8256,-1780
451773.707395,74950,28,-22,-5,-385,-289,8248,-1780
451773.717380,74951,30,-25,-7,-401,-292,8246,-1786
451773.727883,74952,23,-25,-5,-387,-287,8244,-1786
451773.738824,74953,27,-26,-9,-400,-289,8246,-1792
451773.747346,74954,28,-25,-6,-389,-294,8251,-1792
451773.757300,74955,28,-27,-3,-385,-284,8258,-1784
451773.767316,74956,29,-20,-2,-396,-281,8241,-1784
451773.777251,74957,26,-27,1,-397,-289,8253,-1786
451773.786400,74958,29,-18,-8,-388,-282,8246,-1786
451773.797342,74959,32,-24,-6,-393,-286,8243,-1790
451773.806338,74960,29,-23,-5,-388,-291,8237,-1782
451773.816406,74961,28,-24,-9,-388,-286,8253,-1782
451773.826348,74962,26,-28,1,-389,-289,8247,-1780
451773.836310,74963,23,-21,-8,-388,-281,8248,-1780
451773.846322,74964,23,-25,-4,-388,-287,8259,-1786
451773.858771,74965,29,-28,0,-391,-284,8256,-1786
451773.865464,74966,25,-27,-7,-380,-290,8256,-1784
451773.875367,74967,29,-22,-5,-385,-294,8257,-1784
451773.885447,74968,26,-27,-8,-389,-294,8243,-1784
451773.896502,74969,29,-17,-3,-391,-279,8242,-1784
451773.905330,74970,25,-21,-6,-392,-284,8247,-1788
451773.915341,74971,28,-23,-5,-392,-285,8240,-1782
451773.925798,74972,25,-23,-7,-387,-279,8236,-1782
451773.935791,74973,25,-26,-7,-384,-291,8254,-1788
451773.945311,74974,30,-17,-8,-389,-287,8252,-1788
451773.954444,74975,25,-30,-4,-393,-296,8244,-1780
451773.964355,74976,29,-21,-10,-391,-283,8255,-1780
451773.974348,74977,30,-22,-7,-376,-287,8264,-1780
451773.984668,74978,23,-24,-4,-358,-302,8252,-1780
451773.994355,74979,26,-23,-8,-445,-278,8248,-1786
451774.006743,74980,24,-23,-8,-360,-302,8223,-1786
451774.014277,74981,26,-29,-4,-422,-280,8250,-1778
451774.024309,74982,24,-25,-4,-379,-299,8261,-1792
451774.033390,74983,31,-22,-11,-411,-291,8254,-1792
451774.043409,74984,26,-22,-1,-384,-283,8231,-1782
451774.053488,74985,29,-29,-8,-391,-278,8253,-1782
451774.064022,74986,22,-25,-3,-385,-278,8256,-1786
451774.073303,74987,29,-23,-2,-394,-290,8248,-1786
451774.083285,74988,28,-23,-6,-394,-279,8253,-1780
451774.093318,74989,29,-24,-2,-383,-286,8255,-1780
451774.103281,74990,29,-20,-8,-387,-285,8259,-1788
451774.112398,74991,29,-29,2,-396,-291,8250,-1788
451774.122416,74992,30,-24,-11,-391,-287,8256,-1786
451774.132391,74993,29,-28,-4,-390,-285,8248,-1782
451774.142396,74994,21,-23,-8,-404,-285,8255,-1782
451774.152347,74995,28,-19,-8,-396,-288,8241,-1782
451774.162321,74996,27,-22,-8,-397,-284,8243,-1782
451774.172273,74997,29,-24,-5,-390,-291,8253,-1784
451774.182846,74998,25,-26,-9,-398,-286,8258,-1784
451774.192336,74999,27,-20,-4,-386,-286,8243,-1788
451774.201412,75000,22,-23,-3,-389,-278,8245,-1788
451774.211387,75001,28,-20,-7,-386,-286,8246,-1786
451774.221420,75002,30,-21,-4,-398,-279,8247,-1786
451774.231311,75003,30,-24,-5,-389,-286,8264,-1786
451774.241342,75004,27,-26,-4,-393,-291,8264,-1786
451774.251454,75005,30,-27,-6,-389,-282,8247,-1786
451774.261300,75006,25,-24,-5,-393,-285,8235,-1786
451774.271276,75007,28,-22,-5,-385,-279,8252,-1786
451774.280409,75008,34,-21,-7,-390,-283,8245,-1782
451774.290366,75009,25,-23,-8,-386,-287,8244,-1782
451774.300338,75010,25,-22,0,-382,-286,8237,-1790
451774.310377,75011,28,-30,-7,-394,-292,8267,-1790
451774.320308,75012,30,-29,-4,-390,-288,8265,-1790
451774.330336,75013,28,-19,-6,-397,-279,8258,-1790
451774.340578,75014,27,-21,-3,-379,-282,8250,-1788
451774.350315,75015,26,-22,-5,-394,-288,8253,-1788
451774.359376,75016,24,-19,1,-385,-290,8250,-1788
451774.369375,75017,26,-25,-3,-385,-292,8255,-1784
451774.379438,75018,25,-25,-7,-388,-275,8248,-1784
451774.389485,75019,28,-25,-7,-390,-284,8241,-1788
451774.400406,75020,31,-27,-1,-394,-286,8248,-1788
451774.409358,75021,25,-26,-9,-392,-281,8254,-1786
451774.419354,75022,29,-19,-2,-395,-284,8253,-1786
451774.431949,75023,29,-27,-5,-399,-290,8247,-1784
451774.438358,75024,34,-19,-5,-390,-288,8257,-1784
451774.448328,75025,24,-25,-7,-388,-285,8253,-1790
451774.459474,75026,29,-26,-3,-378,-288,8249,-1790
451774.468337,75027,30,-25,0,-396,-278,8249,-1784
451774.478336,75028,29,-23,-11,-391,-292,8237,-1794
451774.488806,75029,26,-22,-6,-391,-292,8251,-1794
451774.498271,75030,30,-21,-2,-391,-284,8250,-1790
451774.508228,75031,32,-24,-9,-393,-278,8250,-1790
451774.518269,75032,26,-27,-7,-379,-279,8247,-1782
451774.529943,75033,18,-20,-2,-398,-293,8258,-1782
451774.538315,75034,29,-22,-5,-390,-284,8256,-1786
451774.547697,75035,24,-25,-10,-395,-291,8257,-1786
451774.557298,75036,23,-23,-6,-403,-290,8245,-1788
451774.567249,75037,29,-25,0,-386,-277,8254,-1788
451774.577724,75038,26,-24,-7,-388,-288,8244,-1786
451774.589076,75039,30,-26,-5,-382,-276,8244,-1786
451774.597274,75040,32,-28,-8,-387,-284,8247,-1782
451774.606342,75041,28,-21,-7,-388,-285,8247,-1796
451774.616644,75042,28,-25,-5,-398,-287,8256,-1796
451774.626314,75043,26,-21,-4,-393,-281,8254,-1788
451774.636373,75044,31,-26,-4,-389,-280,8249,-1788
451774.647165,75045,26,-28,-5,-387,-294,8246,-1782
451774.656325,75046,20,-26,-4,-390,-291,8255,-1782
451774.666374,75047,28,-20,-8,-399,-287,8251,-1786
451774.676299,75048,23,-22,-7,-382,-286,8243,-1786
451774.691310,75049,28,-26,-7,-395,-289,8249,-1784
451774.695357,75050,32,-26,-2,-386,-272,8259,-1784
451774.706902,75051,28,-20,-9,-385,-278,8250,-1782
451774.715327,75052,26,-23,-8,-394,-279,8257,-1784
451774.725407,75053,27,-23,-6,-388,-285,8258,-1784
451774.735355,75054,27,-24,0,-390,-282,8248,-1788
451774.746506,75055,32,-23,-6,-400,-280,8248,-1788
451774.758160,75056,27,-27,-8,-398,-282,8246,-1784
451774.765258,75057,26,-26,-3,-385,-296,8247,-1784
451774.774382,75058,25,-24,-6,-397,-291,8246,-1786
451774.784360,75059,24,-23,-7,-381,-289,8249,-1786
451774.794493,75060,31,-23,-6,-396,-276,8254,-1786
451774.804564,75061,25,-27,-3,-387,-289,8252,-1786
451774.815531,75062,30,-26,-4,-394,-278,8256,-1788
451774.824329,75063,24,-27,-7,-387,-287,8248,-1788
451774.834337,75064,32,-29,-3,-386,-276,8245,-1788
451774.844330,75065,25,-23,-7,-389,-287,8250,-1790
451774.856778,75066,33,-24,-5,-391,-288,8254,-1790
451774.863360,75067,29,-23,-4,-397,-288,8249,-1786
451774.873339,75068,30,-23,-4,-386,-279,8250,-1786
451774.883340,75069,27,-22,-5,-387,-284,8249,-1780
451774.893304,75070,28,-24,1,-380,-278,8258,-1780
451774.903358,75071,24,-23,-9,-390,-291,8243,-1782
451774.915138,75072,25,-21,-5,-402,-284,8251,-1782
451774.923268,75073,27,-22,-5,-392,-284,8254,-1784
451774.933516,75074,26,-25,-3,-380,-280,8244,-1784
451774.942423,75075,24,-23,-5,-397,-286,8252,-1782
451774.953385,75076,23,-21,-3,-392,-286,8254,-1790
451774.962958,75077,22,-21,-5,-395,-287,8243,-1790
451774.972401,75078,29,-27,-2,-382,-281,8258,-1784
451774.982375,75079,24,-19,-7,-388,-284,8238,-1784
451774.992455,75080,29,-25,-5,-398,-283,8253,-1784
451775.007928,75081,26,-28,-8,-404,-283,8254,-1784
451775.012261,75082,32,-20,-5,-386,-287,8253,-1784
451775.021332,75083,28,-29,-5,-397,-278,8247,-1784
451775.031493,75084,30,-26,-1,-398,-289,8247,-1790
451775.041475,75085,32,-27,-7,-390,-284,8252,-1790
451775.052163,75086,30,-25,-4,-387,-295,8250,-1788
451775.061794,75087,29,-23,-2,-397,-283,8241,-1794
451775.071358,75088,30,-23,-5,-395,-278,8256,-1794
451775.081293,75089,25,-24,-7,-392,-287,8255,-1784
451775.091394,75090,27,-22,-5,-392,-279,8248,-1784
451775.101241,75091,25,-22,-10,-392,-287,8248,-1794
451775.110372,75092,23,-25,-9,-397,-287,8248,-1794
451775.120403,75093,30,-22,-4,-386,-284,8255,-1778
451775.130577,75094,26,-22,-8,-386,-285,8251,-1778
451775.140384,75095,29,-25,-7,-387,-285,8244,-1784
451775.150308,75096,31,-24,0,-386,-286,8242,-1784
451775.160439,75097,27,-23,-4,-402,-286,8252,-1786
451775.170392,75098,25,-24,-9,-400,-286,8251,-1786
451775.180326,75099,30,-19,-6,-397,-281,8246,-1786
451775.190257,75100,30,-23,-7,-388,-283,8242,-1786
451775.199465,75101,27,-24,-7,-388,-288,8250,-1786
451775.209448,75102,29,-31,-2,-385,-289,8251,-1782
451775.219679,75103,24,-23,-4,-394,-280,8245,-1782
451775.229503,75104,22,-26,-8,-388,-290,8254,-1786
451775.239294,75105,24,-26,-7,-388,-288,8266,-1786
451775.249301,75106,27,-24,-1,-392,-283,8249,-1786
451775.259752,75107,31,-20,-5,-381,-287,8247,-1786
451775.269250,75108,27,-28,-5,-390,-291,8239,-1788
451775.279454,75109,26,-26,-7,-396,-278,8254,-1786
451775.290047,75110,28,-24,-3,-394,-284,8244,-1786
451775.300096,75111,18,-27,-7,-389,-287,8246,-1788
451775.308408,75112,25,-24,-6,-396,-286,8249,-1788
451775.318329,75113,30,-25,-7,-398,-286,8247,-1790
451775.329060,75114,32,-25,-5,-398,-292,8245,-1790
451775.338316,75115,22,-25,-9,-395,-297,8251,-1786
451775.348272,75116,29,-26,-8,-399,-286,8245,-1786
451775.358244,75117,28,-23,-7,-377,-281,8248,-1788
